IPA_id,area_m2,mean_velD,mean_velA,mean_dwslp_scalarD,mean_dwslp_scalarA,LOS_vel_mean,mean_dwslp_velD,mean_dwslp_velA,dwslp_vel_mean,mean_slope_deg,mean_elevation_m,mean_temp_C,mean_precip_mm,mean_velD_MA,mean_velA_MA,mean_dwslp_scalarD_MA,mean_dwslp_scalarA_MA,LOS_vel_mean_MA,mean_dwslp_velD_MA,mean_dwslp_velA_MA,dwslp_vel_mean_MA,dwslp_velA_MA_fullScalar,dwslp_velD_MA_fullScalar,dwslp_vel_MA_fullScalar,Morphology,Up_connect,aspect_med_cardinal,MA_area_m2,MA_mean_slope_deg,MA_aspect_med_cardinal,MA_mean_elevation_m,MA_mean_temp_C,MA_mean_ppt_mm,geometry,lon,lat
RGU385063N1091833W,81545.917,0.004631449,0.009252504,1.356842617,7.809563403,0.009252504,0.006284147,0.072258015,0.072258015,19.19320276,3053.216392,3.580000162,948.8980713,0.00786478,0.016383776,1.25863417,8.623916626,0.016383776,0.009898881,0.141292319,0.141292319,0.127950138,0.010671269,0.127950138,Tongue,TC,NE,17534.465,24.68925985,NE,3061.890299,3.580000162,948.8980713,"c(-109.183328122655, 38.50631904158)",-109.1833281,38.50631904
RGU385144N1092122W,21416.025,0.005426966,0.004931535,1.258927745,10.58447955,0.005426966,0.006832158,0.052197728,0.052197728,25.48926175,3382.304183,0.949073688,1193.239192,0.007908965,0.005203312,1.280657248,8.602589694,0.007908965,0.010128673,0.04476196,0.04476196,0.055074352,0.009956815,0.055074352,Tongue,TC,E,7458.957,21.93062383,E,3373.615412,1.172915515,1184.811697,"c(-109.212228506026, 38.5144152616188)",-109.2122285,38.51441526
RGU385214N1092074W,53373.362,0.012100238,0.007174991,5.955787452,1.642089844,0.012100238,0.072066444,0.011781979,0.072066444,16.90685705,3331.848818,1.961038859,1150.843505,0.013307738,0.008585569,5.159809367,1.549035305,0.013307738,0.068665389,0.01329935,0.068665389,0.014098276,0.079258057,0.079258057,Tongue,TC,NW,34964.488,15.35564643,NW,3334.626389,1.923689481,1152.472208,"c(-109.207491788702, 38.521447575777)",-109.2074918,38.52144758
RGU385263N1092091W,38728.149,0.003705598,0.002759644,5.439596323,1.487858699,0.003705598,0.020156956,0.00410596,0.020156956,34.54036067,3264.565805,2.060000181,1146.528076,0.007826407,0.005104201,2.321721649,1.22019558,0.007826407,0.018170739,0.006228124,0.018170739,0.00759433,0.042572496,0.042572496,Lobate,DC,N,6727.569,47.41954956,N,3281.555859,2.060000181,1146.528076,"c(-109.209107465375, 38.5263277687262)",-109.2091075,38.52632777
RGU385322N1092252W,39245.524,0.002048379,0.004463657,2.755995574,7.919173629,0.004463657,0.005645324,0.035348475,0.035348475,31.70695213,3357.326389,0.730000019,1193.324097,0.002801957,0.006165244,2.733669472,5.18047905,0.006165244,0.007659624,0.031938918,0.031938918,0.048823639,0.00772218,0.048823639,Tongue,TC,S,13894.885,35.38604126,S,3360.455078,0.730000019,1193.324097,"c(-109.225239691817, 38.5322681837582)",-109.2252397,38.53226818
RGU385346N1092288W,34108.93,0.00198168,0.003345614,7.210625831,8.491186913,0.003345614,0.014289154,0.028408235,0.028408235,22.99060318,3464.31117,0.459203298,1193.785163,0.002029524,0.004626398,4.795823097,9.026706696,0.004626398,0.009733237,0.041761137,0.041761137,0.039283609,0.014634137,0.039283609,Tongue,TC,S,7048.597,17.98948288,S,3448.811279,0.729683665,1193.324635,"c(-109.22889770189, 38.5346762928881)",-109.2288977,38.53467629
RGU385380N1092202W,33788.956,0.00102248,0.004671134,1.161779858,6.146821522,0.004671134,0.001187896,0.02871263,0.02871263,26.24301874,3380.742188,0.934511019,1135.695577,0.001622942,0.007785869,1.146045176,8.05090332,0.007785869,0.001859965,0.062683277,0.062683277,0.047858346,0.001885501,0.047858346,Tongue,TC,E,12203.241,26.21440023,NE,3385.934896,0.775678491,1130.294269,"c(-109.220210105534, 38.5380199269129)",-109.2202101,38.53801993
RGU385402N1092227W,32709.28,0.001504784,0.005554171,1.251853144,7.086784895,0.005554171,0.001883768,0.039361212,0.039361212,22.25301059,3450.641352,0.190000013,1162.315063,0.001726613,0.008407509,1.29740715,5.978671681,0.008407509,0.00224012,0.050265735,0.050265735,0.059582207,0.002161466,0.059582207,Tongue,TC,E,15277.632,23.66976096,NE,3448.160156,0.190000013,1162.315063,"c(-109.222799278262, 38.5402177121668)",-109.2227993,38.54021771
RGU385418N1092809W,16369.474,0.00331906,0.001267956,7.423719323,1.400296087,0.00331906,0.024639771,0.001775514,0.024639771,24.45249342,2668.46841,6.850000381,668.8870239,0.003995663,0.001253212,8.390146891,1.386319796,0.003995663,0.033524197,0.001737352,0.033524197,0.001754868,0.029662678,0.029662678,Lobate,DC,NW,9101.65,23.95753479,NW,2673.242188,6.850000381,668.8870239,"c(-109.280996426471, 38.5418700035319)",-109.2809964,38.54187
RGU385554N1092170W,43166.293,0.001439718,0.006101891,1.165465519,10.37839482,0.006101891,0.001677941,0.063327832,0.063327832,28.24233483,3138.941541,3.077220711,809.4003105,0.001802554,0.010035225,1.176682992,10.82137645,0.010035225,0.002121035,0.108594944,0.108594944,0.104149524,0.002100815,0.104149524,Lobate,DC,E,15316.431,24.80933172,E,3113.494318,3.140000105,799.3560181,"c(-109.217070202941, 38.555489943674)",-109.2170702,38.55548994
